应用名称;原文档中的应用地址;实际访问的应用地址;访问地址是否等于文档所给地址;访问状态;应用在政务网是否存在;应用名称与页面是否匹配;截图相对路径
二级建造师执业资格认定（增项注册）;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=http://zcry.gsszczx.com:84/ciacuserportalxcryweb/SSO/logings.aspx?zczylx=jzaos&action=zxzc;http://zcry.gsszczx.com:84/ciacuserportalxcryweb/Gryh/GsLoginMsg?code=%e6%9d%8e%e9%87%8d%e9%98%b3140522199511010014;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\二级建造师执业资格认定（增项注册）.png;
一级注册消防工程师注册审批;https://shhxf.119.gov.cn;https://zwfw.gansu.gov.cn/api-gateway/jpaas-jsearch-web-server/search?searchid=b0bbbc5a41754d9aac508984539f1c97&websiteid=620000000000&cateid=3675f132e490493f9d0fb3c7baac4eae&q=%E4%B8%80%E7%BA%A7%E6%B3%A8%E5%86%8C%E6%B6%88%E9%98%B2%E5%B7%A5%E7%A8%8B%E5%B8%88%E6%B3%A8%E5%86%8C%E5%AE%A1%E6%89%B9;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\一级注册消防工程师注册审批.png;
对学生申诉的处理;http://jyt.gansu.gov.cn/online_apply/index.xhtml;https://shhxf.119.gov.cn/templet/index_7.jsp;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\对学生申诉的处理.png;
社会保障卡申领;http://wsbs.rst.gansu.gov.cn/private/nav/sb_sbxxcx?type=1;http://wsbs.rst.gansu.gov.cn/login;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\社会保障卡申领.png;
网络安全等级保护备案;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff8080815ffc5461015ffc899171001e;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff8080815ffc5461015ffc899171001e;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\网络安全等级保护备案.png;
二级造价工程师执业资格认定（延续注册）;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=http://zcry.gsszczx.com:84/ciacuserportalxcryweb/SSO/logings.aspx?zczylx=zjs&action=yxzc;http://zcry.gsszczx.com:84/ciacuserportalxcryweb/Gryh/GsLoginMsg?code=%e6%9d%8e%e9%87%8d%e9%98%b3140522199511010014;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\二级造价工程师执业资格认定（延续注册）.png;
港澳居民来往内地通行证换发补发签发;https://zwfw.gat.gansu.gov.cn/crj/crjmsjw/gayw/ajax/hxzyyIndex.html;https://zwfw.gat.gansu.gov.cn/crj/crjmsjw/gayw/ajax/hxzyyIndex.html;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\港澳居民来往内地通行证换发补发签发.png;
劳动能力鉴定申请;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007005/002014007005;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007005/002014007005;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\劳动能力鉴定申请.png;
工伤康复治疗期延长申请;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007017/002014007017;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007017/002014007017;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\工伤康复治疗期延长申请.png;
变更机动车驾驶证联系方式;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\变更机动车驾驶证联系方式.png;
公司变更登记;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300002;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300002&code=90000&ticket=naturalTicket71948297243039457818988804033867&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\公司变更登记.png;
审计专业技术资格（初级、中级、高级）报名;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\审计专业技术资格（初级、中级、高级）报名.png;
甘肃电力-用电用户其他办电项目-计量装置故障;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket62805699533528238083973362100574&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\甘肃电力-用电用户其他办电项目-计量装置故障.png;
基金会成立登记;http://61.178.59.16:55003/netHandle/api/management/commonAccept?TaskCode=11620000013897654H2000111005000&taskHandleItem=11620000013897654H200011100500001;http://61.178.59.16:55003/netHandle/index?taskCode=11620000013897654H2000111005000&taskHandleItem=11620000013897654H200011100500001&token=naturalToken7738962400381028932167324088553632964260495710148435179490761216;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\基金会成立登记.png;
特种设备检验、检测人员资格认定（取证）;http://gs.jyjcks.com;http://gs.jyjcks.com/web/default.do;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\特种设备检验、检测人员资格认定（取证）.png;
变更工伤登记;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007003/002014007003;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007003/002014007003;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\变更工伤登记.png;
新生儿重名查询;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/chaxun/index?id=20;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/chaxun/index?id=20;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\新生儿重名查询.png;
劳动能力再次鉴定申请;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007006/002014007006;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007006/002014007006;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\劳动能力再次鉴定申请.png;
异地考试预约;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\异地考试预约.png;
大型群众性活动安全许可;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=C53F52D6FA1EA835E055000000000001;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=C53F52D6FA1EA835E055000000000001;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\大型群众性活动安全许可.png;
出具出生医学证明;https://zwfw.gansu.gov.cn/index.html;https://zwfw.gansu.gov.cn/index.html;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\出具出生医学证明.png;
甘肃电力-用电用户电能表校验;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket33628839984734844746394548754872&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\甘肃电力-用电用户电能表校验.png;
普通护照换发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa80ebb20688;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa80ebb20688;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\普通护照换发.png;
补换领驾驶证;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=7bca605f1895f43be050015ff10a5f72;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=7bca605f1895f43be050015ff10a5f72;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\补换领驾驶证.png;
初学、增驾工本费缴纳;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\初学、增驾工本费缴纳.png;
国际联网备案;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff8080815ffc5461015ffc899171000e;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff8080815ffc5461015ffc899171000e;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\国际联网备案.png;
自然人自主报告身份信息;https://etax.chinatax.gov.cn/;https://etax.chinatax.gov.cn/?hkmFR120=oqq9cqqcqGEcqGEcq9ExbaYlVQpP0Wb5R77JqQBzao7qqqqqqqqqqqqqqG;不一致;404;应用存在;None;pics\2022_06_07_17_31_54\自然人自主报告身份信息.png;
红字增值税专用发票开具申请;https://etax.gansu.chinatax.gov.cn/bszm-web/apps/views/beforeLogin/indexBefore/zwfw/zwfw.html?url=https://etax.gansu.chinatax.gov.cn/fpweb/index.html?&id=200014&code=200014#/hzfpkj?;https://etax.gansu.chinatax.gov.cn/bszm-web/apps/views/beforeLogin/indexBefore/pageIndex.html?qd=zwfw&type=zrr&success=true&message=&token=naturalToken7738962400381028932167324088553632964260495710148435179490761216&service=https%3A%2F%2Fetax.gansu.chinatax.gov.cn%2Ffpweb%2Findex.html%3F%26id%3D200014%26code%3D200014%23%2Fhzfpkj%3F%26isRedict%3Dtrue#/;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\红字增值税专用发票开具申请.png;
普通护照补发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa80ebb20688;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa80ebb20688;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\普通护照补发.png;
股权出质的变更;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200073100200002;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200073100200002&code=90000&ticket=naturalTicket12751333831150761108533308651779&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\股权出质的变更.png;
一级注册消防工程师;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\一级注册消防工程师.png;
前往港澳通行证失效重新申请;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\前往港澳通行证失效重新申请.png;
取水许可;http://60.164.220.175:8082;http://60.164.220.175:8082/?authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&ticket=naturalTicketLAsLczplNQTmB40rzATNAuGxd3vnNeGQ&state=438676973#/government;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\取水许可.png;
前往港澳通行证首次申请;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\前往港澳通行证首次申请.png;
甘肃电力-用电用户其他办电项目-并户;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket12021722603693350905840027565824&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\甘肃电力-用电用户其他办电项目-并户.png;
延期换领机动车驾驶证;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\延期换领机动车驾驶证.png;
执业药师注销注册;https://zwfw.nmpa.gov.cn/web/user/login?backUrl=/web/ssologin/QGZYYSZCGLXXXT?returnUrl=/login.action?method=goin;https://zwfw.nmpa.gov.cn/web/user/login?backUrl=/web/ssologin/QGZYYSZCGLXXXT?returnUrl=/login.action?method=goin;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\执业药师注销注册.png;
甘肃省技术发明奖;https://xm.gskeju.cn;https://xm.gskeju.cn/egrantweb/;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\甘肃省技术发明奖.png;
甘肃电力-用电用户更名;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket24112620350156981920593442237656&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\甘肃电力-用电用户更名.png;
代开发票作废;https://etax.gansu.chinatax.gov.cn/bszm-web/apps/views/beforeLogin/indexBefore/zwfw/zwfw.html?url=https://etax.gansu.chinatax.gov.cn/fpweb/index.html?&id=200012&code=200012#/dkfpzf?;https://etax.gansu.chinatax.gov.cn/bszm-web/apps/views/beforeLogin/indexBefore/pageIndex.html?qd=zwfw&type=zrr&success=true&message=&token=naturalToken7738962400381028932167324088553632964260495710148435179490761216&service=https%3A%2F%2Fetax.gansu.chinatax.gov.cn%2Ffpweb%2Findex.html%3F%26id%3D200012%26code%3D200012%23%2Fdkfpzf%3F%26isRedict%3Dtrue#/;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\代开发票作废.png;
驾驶证审验业务申请;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\驾驶证审验业务申请.png;
中专毕业证书遗失办理;http://jyt.gansu.gov.cn/online_apply/index.xhtml;http://jyt.gansu.gov.cn/online_apply/index.xhtml;一致;412;应用存在;None;pics\2022_06_07_17_31_54\中专毕业证书遗失办理.png;
助理社会工作师、社会工作师、高级社会工作师;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\助理社会工作师、社会工作师、高级社会工作师.png;
出入境通行证签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=C61AD065DC4B02BDE055000000000001;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=C61AD065DC4B02BDE055000000000001;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\出入境通行证签发.png;
高速客船操作安全证书核发;https://zwfw.msa.gov.cn/#/waterApply?id=92315CF3A396F140E053140F0AC66560&affairNum=MSAQR012&affairId=92315CF3A396F140E053140F0AC66560&modelType=MSAQR012&token=ba78b996-c82e-4a9c-ba94-3bb549bddfe7&refresh_token=56e7bb12-ef2f-4b40-b8b0-ebfe1f3fa890&expires_in=41132;https://zwfw.msa.gov.cn/#/index;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\高速客船操作安全证书核发.png;
代开增值税专用发票;https://etax.gansu.chinatax.gov.cn/bszm-web/apps/views/beforeLogin/indexBefore/zwfw/zwfw.html?url=https://etax.gansu.chinatax.gov.cn/fpweb/index.html?&id=200009&code=200009#/zyfpdk?;https://etax.gansu.chinatax.gov.cn/bszm-web/apps/views/beforeLogin/indexBefore/pageIndex.html?qd=zwfw&type=zrr&success=true&message=&token=naturalToken7738962400381028932167324088553632964260495710148435179490761216&service=https%3A%2F%2Fetax.gansu.chinatax.gov.cn%2Ffpweb%2Findex.html%3F%26id%3D200009%26code%3D200009%23%2Fzyfpdk%3F%26isRedict%3Dtrue#/;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\代开增值税专用发票.png;
高等教育自学考试学历证明、毕业生档案（毕业生审批登记表复印盖章）、毕业证明、合格成绩证明等办理;http://jyt.gansu.gov.cn/online_apply/index.xhtml;http://jyt.gansu.gov.cn/online_apply/index.xhtml;一致;412;应用存在;None;pics\2022_06_07_17_31_54\高等教育自学考试学历证明、毕业生档案（毕业生审批登记表复印盖章）、毕业证明、合格成绩证明等办理.png;
船舶名称核准;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000718014000&taskType=07&taskHandleItem=116200000138979102200071801400001;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\船舶名称核准.png;
社会工作者职业水平证书登记管理;http://61.178.59.16:55003/appfront/#/see_module?id=890634179392307200;http://61.178.59.16:55003/appfront/#/see_module?id=890634179392307200;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\社会工作者职业水平证书登记管理.png;
往来港澳其他签注签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\往来港澳其他签注签发.png;
往来港澳通行证换发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\往来港澳通行证换发.png;
甘肃电力-用电用户其他办电项目-改类;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket16019105364118178774317435555726&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\甘肃电力-用电用户其他办电项目-改类.png;
新车注册登记预选号牌;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\新车注册登记预选号牌.png;
举办外国的文艺表演团体、个人参加的营业性演出增加演出地备案;http://ccm.mct.gov.cn/;http://ccm.mct.gov.cn/ccnt/hbase/index.html;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\举办外国的文艺表演团体、个人参加的营业性演出增加演出地备案.png;
国内水路运输经营许可（不含省际旅客、危险品货物水路运输许可）;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000118015000&taskType=01&taskHandleItem=116200000138979102200011801500001;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\国内水路运输经营许可（不含省际旅客、危险品货物水路运输许可）.png;
民办非企业单位成立登记;http://61.178.59.16:55003/netHandle/api/management/commonAccept?TaskCode=11620000013897654H2000111003000&taskHandleItem=11620000013897654H200011100300001;http://61.178.59.16:55003/netHandle/index?taskCode=11620000013897654H2000111003000&taskHandleItem=11620000013897654H200011100300001&token=naturalToken7738962400381028932167324088553632964260495710148435179490761216;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\民办非企业单位成立登记.png;
执业药师变更注册;https://zwfw.nmpa.gov.cn/web/user/login?backUrl=/web/ssologin/QGZYYSZCGLXXXT?returnUrl=/login.action?method=goin;https://zwfw.nmpa.gov.cn/web/user/login?backUrl=/web/ssologin/QGZYYSZCGLXXXT?returnUrl=/login.action?method=goin;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\执业药师变更注册.png;
船舶安全检验证书核发(建造检验);https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000118044000&taskType=01&taskHandleItem=116200000138979102200011804400001;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\船舶安全检验证书核发(建造检验).png;
建造师;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\建造师.png;
港澳台居民来往内地（大陆）办证进度查询;https://zwfw.gat.gansu.gov.cn/crj/crjmsjw/wsyy/ajax/bzjdquery.html;https://zwfw.gat.gansu.gov.cn/crj/crjmsjw/wsyy/ajax/bzjdquery.html;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\港澳台居民来往内地（大陆）办证进度查询.png;
电子监控违法处理;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=7bca605f189ef43be050015ff10a5f33;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=7bca605f189ef43be050015ff10a5f33;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\电子监控违法处理.png;
建筑工程施工许可证核发;https://zwfw.gansu.gov.cn/szgs/sxcx/deptitem/showIndex.do?deptCode=11620000013897849B;https://zwfw.gansu.gov.cn/szgs/sxcx/deptitem/showIndex.do?deptCode=11620000013897849B;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\建筑工程施工许可证核发.png;
普通护照失效重新申请;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa80ebb20688;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa80ebb20688;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\普通护照失效重新申请.png;
公路超限运输许可;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000118006000&taskType=01&taskHandleItem=116200000138979102200011800600001;http://117.157.231.153:9090/tsg/Apply;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\公路超限运输许可.png;
省外国专家敦煌奖奖励;https://xm.gskeju.cn/egrantweb/;https://xm.gskeju.cn/egrantweb/;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\省外国专家敦煌奖奖励.png;
社会保障卡注销;http://wsbs.rst.gansu.gov.cn/private/nav/sb_sbxxcx?type=6;http://wsbs.rst.gansu.gov.cn/login;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\社会保障卡注销.png;
机动车数据更新;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\机动车数据更新.png;
供养亲属抚恤金申领;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007028/002014007028;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007028/002014007028;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\供养亲属抚恤金申领.png;
发票信息查询;https://etax.gansu.chinatax.gov.cn/bszm-web/apps/views/beforeLogin/indexBefore/zwfw/zwfw.html?url=https://etax.gansu.chinatax.gov.cn/yhs-web/cxzx/index.html?&id=422&code=422#/gzfwfpcx;https://etax.gansu.chinatax.gov.cn/bszm-web/apps/views/beforeLogin/indexBefore/pageIndex.html?qd=zwfw&type=zrr&success=true&message=&token=naturalToken7738962400381028932167324088553632964260495710148435179490761216&service=https%3A%2F%2Fetax.gansu.chinatax.gov.cn%2Fyhs-web%2Fcxzx%2Findex.html%3F%26id%3D422%26code%3D422%23%2Fgzfwfpcx%26isRedict%3Dtrue#/;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\发票信息查询.png;
境外人员住宿登记;http://61.178.81.225:1001/hotel;http://61.178.81.225:1001/hotel/;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\境外人员住宿登记.png;
二级建造师执业资格认定（初始注册）;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=http://zcry.gsszczx.com:84/ciacuserportalxcryweb/SSO/logings.aspx?zczylx=jzaos&action=zxzc;http://zcry.gsszczx.com:84/ciacuserportalxcryweb/Gryh/GsLoginMsg?code=%e6%9d%8e%e9%87%8d%e9%98%b3140522199511010014;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\二级建造师执业资格认定（初始注册）.png;
代开增值税普通发票;https://etax.gansu.chinatax.gov.cn/bszm-web/apps/views/beforeLogin/indexBefore/zwfw/zwfw.html?url=https://etax.gansu.chinatax.gov.cn/fpweb/index.html?&id=200010&code=200010#/ptfpdkEntry?;https://etax.gansu.chinatax.gov.cn/bszm-web/apps/views/beforeLogin/indexBefore/pageIndex.html?qd=zwfw&type=zrr&success=true&message=&token=naturalToken7738962400381028932167324088553632964260495710148435179490761216&service=https%3A%2F%2Fetax.gansu.chinatax.gov.cn%2Ffpweb%2Findex.html%3F%26id%3D200010%26code%3D200010%23%2FptfpdkEntry%3F%26isRedict%3Dtrue#/;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\代开增值税普通发票.png;
对开发、保护矿产资源的奖励;https://zwfw.gansu.gov.cn/gsjis/natural/newJAdByContry?LinkAddr=http://36.142.15.6:11111/diit-qdyjj-web/login/loginTrust?taskCode=11620000MB1674680L2000815007000&TaskHandleItem=11620000MB1674680L200081500700001;http://36.142.15.6:11111/diit-qdyjj-web/xjzwfw/zwfw/iframepagedemo.jsp;不一致;302;应用存在;None;pics\2022_06_07_17_31_54\对开发、保护矿产资源的奖励.png;
居住证办理进度查询;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/chaxun/index?id=22;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/chaxun/index?id=22;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\居住证办理进度查询.png;
设置非公路标志审批;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000118009000&taskType=01&taskHandleItem=116200000138979102200011800900002;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\设置非公路标志审批.png;
二级建造师执业资格认定（延续注册）;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=http://zcry.gsszczx.com:84/ciacuserportalxcryweb/SSO/logings.aspx?zczylx=jzaos&action=yxzc;http://zcry.gsszczx.com:84/ciacuserportalxcryweb/Gryh/GsLoginMsg?code=%e6%9d%8e%e9%87%8d%e9%98%b3140522199511010014;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\二级建造师执业资格认定（延续注册）.png;
人才集体户口管理服务;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014204008/002014204008;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014204008/002014204008;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\人才集体户口管理服务.png;
合伙企业分支机构注销登记;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300053;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300053&code=90000&ticket=naturalTicket84216147785857619854922283162707&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\合伙企业分支机构注销登记.png;
